person,personLabel,propLabel,ppaLabel,qual_propLabel,qual_valueLabel,qual_value,prop,ppa,qual_prop,s
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,point in time,1896-04-30T00:00:00Z,1896-04-30T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-95ab72a4-4fd1-b2cc-daf2-130057718d46
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,title of paper,Second Sight in the Highlands,Second Sight in the Highlands,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-95ab72a4-4fd1-b2cc-daf2-130057718d46
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,of,Gaelic Society of Inverness,https://beyond-notability.wikibase.cloud/entity/Q774,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q747-95ab72a4-4fd1-b2cc-daf2-130057718d46
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,point in time,1897-11-26T00:00:00Z,1897-11-26T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-c8a8dc16-4266-9954-f1f5-9ba631be6dc7
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,title of paper,Traces of the Norsemen in the Hebrides,Traces of the Norsemen in the Hebrides,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-c8a8dc16-4266-9954-f1f5-9ba631be6dc7
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,of,Viking Society,https://beyond-notability.wikibase.cloud/entity/Q750,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q747-c8a8dc16-4266-9954-f1f5-9ba631be6dc7
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,Women's Institute (Grosvenor Crescent),point in time,1899-01-23T00:00:00Z,1899-01-23T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q1889,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-1d77ebbf-4c8d-21a5-f350-fa1117046faf
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,Women's Institute (Grosvenor Crescent),note,"Goodrich Freer's lecture was one of a series of lectures on the theme ""Openings for Women"" organised by the Women's Institute","Goodrich Freer's lecture was one of a series of lectures on the theme ""Openings for Women"" organised by the Women's Institute",https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q1889,https://beyond-notability.wikibase.cloud/entity/P47,https://beyond-notability.wikibase.cloud/entity/statement/Q747-1d77ebbf-4c8d-21a5-f350-fa1117046faf
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,Women's Institute (Grosvenor Crescent),title of paper,Gardening,Gardening,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q1889,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-1d77ebbf-4c8d-21a5-f350-fa1117046faf
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,exhibited at,meeting,of,The Folklore Society,https://beyond-notability.wikibase.cloud/entity/Q292,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q747-1844eb8c-4d2a-cec8-ede3-33676acd81e6
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,exhibited at,meeting,item exhibited (free text),"A number of artefacts including an amulet and a picture of Rachel's Tomb, which were presented by Goodrich-Freer to the Society.","A number of artefacts including an amulet and a picture of Rachel's Tomb, which were presented by Goodrich-Freer to the Society.",https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P80,https://beyond-notability.wikibase.cloud/entity/statement/Q747-1844eb8c-4d2a-cec8-ede3-33676acd81e6
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,point in time,1905-04-19T00:00:00Z,1905-04-19T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-5ec0a938-4881-a2e3-317e-afe962c6212c
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,title of paper,Jerusalem Folk-Lore,Jerusalem Folk-Lore,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-5ec0a938-4881-a2e3-317e-afe962c6212c
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,of,The Folklore Society,https://beyond-notability.wikibase.cloud/entity/Q292,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q747-5ec0a938-4881-a2e3-317e-afe962c6212c
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,Annual Meeting,point in time,1898-01-01T00:00:00Z,1898-01-01T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-748d39dc-4499-e6bf-bf24-f4f4545f0aec
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,Annual Meeting,location,Bristol,https://beyond-notability.wikibase.cloud/entity/Q307,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P2,https://beyond-notability.wikibase.cloud/entity/statement/Q747-748d39dc-4499-e6bf-bf24-f4f4545f0aec
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,Annual Meeting,title of paper,On the Folklore of the Outer Hebrides,On the Folklore of the Outer Hebrides,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-748d39dc-4499-e6bf-bf24-f4f4545f0aec
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,Annual Meeting,of,British Association for the Advancement of Science,https://beyond-notability.wikibase.cloud/entity/Q644,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q747-748d39dc-4499-e6bf-bf24-f4f4545f0aec
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,exhibited at,meeting,point in time,1903-12-17T00:00:00Z,1903-12-17T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-1844eb8c-4d2a-cec8-ede3-33676acd81e6
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,exhibited at,meeting,note,Meeting Chair Prof York Powell exhibited these items on Goodrich-Freer's behalf,Meeting Chair Prof York Powell exhibited these items on Goodrich-Freer's behalf,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P47,https://beyond-notability.wikibase.cloud/entity/statement/Q747-1844eb8c-4d2a-cec8-ede3-33676acd81e6
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,point in time,1901-11-14T00:00:00Z,1901-11-14T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-e6450f27-494c-b99e-0057-d35f2b645092
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,title of paper,Second Sight in the Hebrides,Second Sight in the Hebrides,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-e6450f27-494c-b99e-0057-d35f2b645092
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,of,Scottish Society for Literature and Art,https://beyond-notability.wikibase.cloud/entity/Q2789,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q747-e6450f27-494c-b99e-0057-d35f2b645092
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,1928 Jubilee Congress of the Folklore Society,point in time,1928-09-25T00:00:00Z,1928-09-25T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q3616,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-9620f44e-4270-b6a7-13d2-fdb963d64ea1
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,1928 Jubilee Congress of the Folklore Society,title of paper,Hebrew amulets,Hebrew amulets,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q3616,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-9620f44e-4270-b6a7-13d2-fdb963d64ea1
https://beyond-notability.wikibase.cloud/entity/Q1016,Ada Janet Peggs,spoke at,meeting,point in time,1903-06-24T00:00:00Z,1903-06-24T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q1016-b174ae15-41d3-50e3-e7d7-c9fe9a6443f4
https://beyond-notability.wikibase.cloud/entity/Q1016,Ada Janet Peggs,spoke at,meeting,note,Peggs' paper was read on her behalf by Mr C. J. Tabor. A number of artefacts associated with the paper were also exhibited by Mrs Tabor.,Peggs' paper was read on her behalf by Mr C. J. Tabor. A number of artefacts associated with the paper were also exhibited by Mrs Tabor.,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P47,https://beyond-notability.wikibase.cloud/entity/statement/Q1016-b174ae15-41d3-50e3-e7d7-c9fe9a6443f4
https://beyond-notability.wikibase.cloud/entity/Q1016,Ada Janet Peggs,spoke at,meeting,title of paper,"Notes on the Aborigines of Roebuck Bay, Australia","Notes on the Aborigines of Roebuck Bay, Australia",https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q1016-b174ae15-41d3-50e3-e7d7-c9fe9a6443f4
https://beyond-notability.wikibase.cloud/entity/Q1016,Ada Janet Peggs,spoke at,meeting,of,The Folklore Society,https://beyond-notability.wikibase.cloud/entity/Q292,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q1016-b174ae15-41d3-50e3-e7d7-c9fe9a6443f4
https://beyond-notability.wikibase.cloud/entity/Q837,Adelaide Martha Collyer,spoke at,Royal Historical Society,point in time,1900-01-18T00:00:00Z,1900-01-18T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q432,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q837-36e1f071-4312-c6c0-a229-e31b2d55a30b
https://beyond-notability.wikibase.cloud/entity/Q837,Adelaide Martha Collyer,spoke at,Royal Historical Society,title of paper,The diplomatic correspondence between England and Russia  in the first half of the eighteenth century,The diplomatic correspondence between England and Russia  in the first half of the eighteenth century,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q432,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q837-36e1f071-4312-c6c0-a229-e31b2d55a30b
https://beyond-notability.wikibase.cloud/entity/Q916,Agnes Conway Horsfield,spoke at,Conference on the Future of Archaeology,point in time,1943-08-01T00:00:00Z,1943-08-01T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q1859,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q916-67de2292-460c-32a1-d4c3-0afc5b142b8c
https://beyond-notability.wikibase.cloud/entity/Q916,Agnes Conway Horsfield,spoke at,Conference on the Future of Archaeology,location,Institute of Archaeology,https://beyond-notability.wikibase.cloud/entity/Q545,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q1859,https://beyond-notability.wikibase.cloud/entity/P2,https://beyond-notability.wikibase.cloud/entity/statement/Q916-67de2292-460c-32a1-d4c3-0afc5b142b8c
https://beyond-notability.wikibase.cloud/entity/Q916,Agnes Conway Horsfield,spoke at,Conference on the Future of Archaeology,note,"Horsfield is listed as a discussant in the ""Records and Discovery - Local and National"" section","Horsfield is listed as a discussant in the ""Records and Discovery - Local and National"" section",https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q1859,https://beyond-notability.wikibase.cloud/entity/P47,https://beyond-notability.wikibase.cloud/entity/statement/Q916-67de2292-460c-32a1-d4c3-0afc5b142b8c
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,meeting,point in time,1900-12-01T00:00:00Z,1900-12-01T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-1dd575ff-4666-f20a-bb8d-be92e5038cca
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,meeting,note,"Weld's lecture was illustrated with her personal photographs of artefacts in the Ashmolean Museum, Oxford","Weld's lecture was illustrated with her personal photographs of artefacts in the Ashmolean Museum, Oxford",https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P47,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-1dd575ff-4666-f20a-bb8d-be92e5038cca
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,meeting,title of paper,Egyptian Funeral Customs and Beliefs from BC 6000 to AD 100,Egyptian Funeral Customs and Beliefs from BC 6000 to AD 100,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-1dd575ff-4666-f20a-bb8d-be92e5038cca
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,meeting,of,Oxford Ladies' Brass Rubbing Society,https://beyond-notability.wikibase.cloud/entity/Q1347,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-1dd575ff-4666-f20a-bb8d-be92e5038cca
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,exhibited at,Annual Meeting,point in time,1898-09-12T00:00:00Z,1898-09-12T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-46847670-41b1-64e6-aa69-0bae3b990c31
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,exhibited at,Annual Meeting,of,British Association for the Advancement of Science,https://beyond-notability.wikibase.cloud/entity/Q644,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-46847670-41b1-64e6-aa69-0bae3b990c31
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,exhibited at,Annual Meeting,item exhibited (free text),image of Buddha,image of Buddha,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P80,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-46847670-41b1-64e6-aa69-0bae3b990c31
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,meeting,point in time,1901-06-05T00:00:00Z,1901-06-05T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-6960ef94-467f-96f5-2015-58f0672a294f
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,meeting,title of paper,Egyptian Funeral Customs and Beliefs from BC 6000 to AD 100,Egyptian Funeral Customs and Beliefs from BC 6000 to AD 100,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-6960ef94-467f-96f5-2015-58f0672a294f
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,meeting,of,Ashmolean Natural History Society of Oxfordshire,https://beyond-notability.wikibase.cloud/entity/Q1348,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-6960ef94-467f-96f5-2015-58f0672a294f
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,Annual Meeting,point in time,1898-09-12T00:00:00Z,1898-09-12T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-c874077f-4c14-7930-5c50-b1f24b16043f
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,Annual Meeting,location,Bristol,https://beyond-notability.wikibase.cloud/entity/Q307,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P2,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-c874077f-4c14-7930-5c50-b1f24b16043f
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,Annual Meeting,title of paper,On a Buddhist image found in an Irish bog,On a Buddhist image found in an Irish bog,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-c874077f-4c14-7930-5c50-b1f24b16043f
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,Annual Meeting,of,British Association for the Advancement of Science,https://beyond-notability.wikibase.cloud/entity/Q644,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-c874077f-4c14-7930-5c50-b1f24b16043f
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,Annual Meeting,point in time,1894-08-11T00:00:00Z,1894-08-11T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-dae6a283-4eb5-b812-1200-36b32de21549
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,Annual Meeting,location,Oxford,https://beyond-notability.wikibase.cloud/entity/Q82,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P2,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-dae6a283-4eb5-b812-1200-36b32de21549
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,Annual Meeting,title of paper,On the possibility of a common language between man and animals,On the possibility of a common language between man and animals,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-dae6a283-4eb5-b812-1200-36b32de21549
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,Annual Meeting,of,British Association for the Advancement of Science,https://beyond-notability.wikibase.cloud/entity/Q644,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-dae6a283-4eb5-b812-1200-36b32de21549
https://beyond-notability.wikibase.cloud/entity/Q1081,Agnes Grace Weld,spoke at,meeting,point in time,1896-04-19T00:00:00Z,1896-04-19T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q1081-1cb3dc45-4e41-c755-b255-996fb0a78afe
