record_id,person,person_label,year,author,journal_std_title,journal_std_grp,volume,ads_record_id,ads_id
50,Q1017,Anne Sophia Place,1905,"Place
                                                Thomas Ross",Proceedings of the Society of Antiquaries of Scotland,Proceedings of the Society of Antiquaries of Scotland,40,3185016,56039
51,Q1020,Emmeline Mary Plunket,1900,Emmeline Plunket,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,22,3141444,48030
52,Q1020,Emmeline Mary Plunket,1900,Emmeline Plunket,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,22,3141423,48030
53,Q1020,Emmeline Mary Plunket,1906,Emmeline Plunket,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,28,3141652,48030
54,Q1020,Emmeline Mary Plunket,1896,Emmeline Plunket,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,14,3145767,48030
55,Q1020,Emmeline Mary Plunket,1910,Emmeline Plunket,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,32,3145949,48030
56,Q1020,Emmeline Mary Plunket,1901,Emmeline Plunket,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,23,3141478,48030
57,Q1020,Emmeline Mary Plunket,1897,Emmeline Plunket,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,19,3141305,48030
58,Q1020,Emmeline Mary Plunket,1896,Emmeline Plunket,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,15,3145801,48030
59,Q1020,Emmeline Mary Plunket,1896,Emmeline Plunket,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,18,3145849,48030
60,Q1021,Margaret Ellen Poole,NA,Margaret Ellen Poole,Transactions of the Historic Society of Lancashire and Cheshire,Transactions of the Historic Society of Lancashire and Cheshire,52,3132780,49469
61,Q1021,Margaret Ellen Poole,1900,Margaret Ellen Poole,Transactions of the Historic Society of Lancashire and Cheshire,Transactions of the Historic Society of Lancashire and Cheshire,52,3124649,49469
62,Q1023,Mary A. Powley,1883,Powley,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,6,3194595,53365
63,Q1023,Mary A. Powley,1880,Powley,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,4,3194339,53365
64,Q1023,Mary A. Powley,1880,Powley,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,4,3194356,53365
65,Q1023,Mary A. Powley,1876,Powley,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,2,3194128,53365
66,Q1023,Mary A. Powley,1876,Powley,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,2,3194141,53365
67,Q1023,Mary A. Powley,1878,Powley,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,3,3194236,53365
68,Q1025,Kate Lawless Pyne,1897,Kate L Pyne,Folklore,Folklore,8,3113348,55506
69,Q1025,Kate Lawless Pyne,1897,Kate L Pyne,Folklore,Folklore,8,3113349,55506
70,Q1027,Lucy Ramsay,1885,Ramsay,Proceedings of the Society of Antiquaries of Scotland,Proceedings of the Society of Antiquaries of Scotland,20,3184351,52076
71,Q1028,Margaret Ramsay,1904,A Margaret Ramsay,Journal of Hellenic Studies,Journal of Hellenic Studies,24,3144003,50232
72,Q1029,Rachel Robertson Reid,1906,R R Reid,Transactions of the Royal Historical Society,Transactions of the Royal Historical Society,20,3146327,52728
73,Q1030,Gisela Marie Augusta Richter,1906,Gisela M A Richter,Annual of the British School at Athens,Annual of the British School at Athens,11,3110002,45847
74,Q1031,Marion Rivett-Carnac,1900,Rivett-Carnac,Proceedings of the Suffolk Institute of Archaeology and Natural History,Proceedings of the Suffolk Institute of Archaeology and Natural History,10,3145975,52512
75,Q1032,May Robinson,1893,"May Robinson
                                                M J Walhouse",Folklore,Folklore,4,3113235,55504
76,Q1033,Ida Mary Roper,1904,Ida M Roper,Transactions of the Bristol and Gloucestershire Archaeological Society,Transactions of the Bristol and Gloucestershire Archaeological Society,26,3064560,43172
77,Q1033,Ida Mary Roper,1909,Ida M Roper,Proceedings of the Bournemouth Natural Science Society,Proceedings of the Bournemouth Natural Science Society,5,3135509,43172
78,Q1033,Ida Mary Roper,1909,Ida M Roper,Proceedings of the Bournemouth Natural Science Society,Proceedings of the Bournemouth Natural Science Society,3,3135507,43172
79,Q1033,Ida Mary Roper,1906,Ida M Roper,Transactions of the Bristol and Gloucestershire Archaeological Society,Transactions of the Bristol and Gloucestershire Archaeological Society,29,3064593,43172
80,Q1033,Ida Mary Roper,1908,Ida M Roper,Transactions of the Bristol and Gloucestershire Archaeological Society,Transactions of the Bristol and Gloucestershire Archaeological Society,31,3064640,43172
81,Q1033,Ida Mary Roper,1897,Ida M Roper,Transactions of the Bristol and Gloucestershire Archaeological Society,Transactions of the Bristol and Gloucestershire Archaeological Society,19,3064440,43172
82,Q1033,Ida Mary Roper,1910,Ida M Roper,Transactions of the Bristol and Gloucestershire Archaeological Society,Transactions of the Bristol and Gloucestershire Archaeological Society,33,3064663,43172
83,Q1033,Ida Mary Roper,1909,Ida M Roper,Transactions of the Bristol and Gloucestershire Archaeological Society,Transactions of the Bristol and Gloucestershire Archaeological Society,32,3064648,43172
84,Q1033,Ida Mary Roper,1905,Ida M Roper,Proceedings of the Clifton Antiquarian Club,Proceedings of the Clifton Antiquarian Club,6,3145604,43172
85,Q1035,Julia Anne Elizabeth Roundell,1905,C Roundell,Proceedings of the Suffolk Institute of Archaeology and Natural History,Proceedings of the Suffolk Institute of Archaeology and Natural History,12,3146009,44333
86,Q1035,Julia Anne Elizabeth Roundell,NA,C Roundell,Proceedings of the Suffolk Institute of Archaeology and Natural History,Proceedings of the Suffolk Institute of Archaeology and Natural History,12,3118900,44333
87,Q1035,Julia Anne Elizabeth Roundell,NA,C Roundell,Proceedings of the Suffolk Institute of Archaeology and Natural History,Proceedings of the Suffolk Institute of Archaeology and Natural History,12,3118898,44333
88,Q1035,Julia Anne Elizabeth Roundell,1905,C Roundell,Proceedings of the Suffolk Institute of Archaeology and Natural History,Proceedings of the Suffolk Institute of Archaeology and Natural History,12,3146010,44333
89,Q1035,Julia Anne Elizabeth Roundell,NA,C Roundell,Proceedings of the Suffolk Institute of Archaeology and Natural History,Proceedings of the Suffolk Institute of Archaeology and Natural History,12,3118899,44333
90,Q1036,Enid Maud Grace Routh,1905,Enid M G Routh,Transactions of the Royal Historical Society,Transactions of the Royal Historical Society,19,3146315,52719
91,Q1036,Enid Maud Grace Routh,1904,Enid M G Routh,Transactions of the Royal Historical Society,Transactions of the Royal Historical Society,18,3146314,52719
92,Q1037,Agnes Rowley-Morris,1894,Agnes Rowley-Morris,Montgomeryshire Collections,Montgomeryshire Collections,27,3116100,55807
176,Q1040,Helen Jemima Saunders,1905,Helen Saunders,Transactions of the Devonshire Association,Transactions of the Devonshire Association,37,3147618,64318
178,Q1040,Helen Jemima Saunders,1896,Helen Saunders,Transactions of the Devonshire Association,Transactions of the Devonshire Association,28,3147404,64318
180,Q1040,Helen Jemima Saunders,1900,Helen Saunders,Transactions of the Devonshire Association,Transactions of the Devonshire Association,32,3147486,64318
181,Q1040,Helen Jemima Saunders,1904,Helen Saunders,Transactions of the Devonshire Association,Transactions of the Devonshire Association,36,3044411,64318
182,Q1042,Annie Mary Sharp,1906,Sharp,Journal of the British Archaeological Association,Journal of the British Archaeological Association,12,3098772,49888
184,Q1043,Violet Mary Shillington,1906,Violet Shillington,Transactions of the Royal Historical Society,Transactions of the Royal Historical Society,20,3146331,52732
185,Q1044,Edith Jemima Simcox,NA,Simcox,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,10,3141216,47912
186,Q1045,Emily Skinner,1907,Emily Skinner,Transactions of the Devonshire Association,Transactions of the Devonshire Association,39,3147655,40868
187,Q1045,Emily Skinner,1910,Emily Skinner,Transactions of the Devonshire Association,Transactions of the Devonshire Association,42,3044484,40868
188,Q1045,Emily Skinner,1910,Emily Skinner,Transactions of the Devonshire Association,Transactions of the Devonshire Association,42,3147722,40868
189,Q1045,Emily Skinner,1906,Emily Skinner,Transactions of the Devonshire Association,Transactions of the Devonshire Association,38,3147647,40868
190,Q1047,Lucy Toulmin Smith,NA,Lucy Toulmin Smith,Transactions of the Birmingham and Midland Institute,Transactions of the Birmingham and Midland Institute,1,3146862,53090
191,Q1049,Gwendoline Clare Stacpoole,1904,"G C Stacpoole
                                                Thomas J Westropp",Journal of the Royal Historical and Archaeological Association of Ireland,Journal of the Royal Society of Antiquaries of Ireland,14,3039570,55709
192,Q1050,Mary L. Stevenson,1915,Mary L Stevenson,Berks Bucks and Oxon Archaeological Journal,Berks Bucks and Oxon Archaeological Journal,21,3193199,47739
193,Q1050,Mary L. Stevenson,1903,Stevenson,Berks Bucks and Oxon Archaeological Journal,Berks Bucks and Oxon Archaeological Journal,9,3192691,47796
194,Q1053,Charlotte Carmichael Stopes,NA,Charlotte C Stopes,Transactions of the Royal Society of Literature,Transactions of the Royal Society of Literature,25,3136571,42556
195,Q1053,Charlotte Carmichael Stopes,1918,Charlotte C Stopes,Shakespeare Club Stratford Upon Avon Summary of Papers,Shakespeare Club Stratford Upon Avon Summary of Papers,[1918],3137000,42556
196,Q1053,Charlotte Carmichael Stopes,NA,Charlotte C Stopes,Modern Language Review,Modern Language Review,19,3134229,42556
197,Q1053,Charlotte Carmichael Stopes,NA,Charlotte C Stopes,Transactions of the Royal Society of Literature,Transactions of the Royal Society of Literature,32,3136589,42556
198,Q1053,Charlotte Carmichael Stopes,NA,Charlotte C Stopes,Transactions of the Royal Society of Literature,Transactions of the Royal Society of Literature,28,3136580,42556
199,Q1053,Charlotte Carmichael Stopes,NA,Charlotte C Stopes,Modern Language Review,Modern Language Review,16,3134313,42556
200,Q1053,Charlotte Carmichael Stopes,1896,Charlotte Carmichael Stopes,Transactions of the Royal Society of Literature,Transactions of the Royal Society of Literature,18,3145757,51610
201,Q1055,Emma Swann,1897,Emma Swann,Berks Bucks and Oxon Archaeological Journal,Berks Bucks and Oxon Archaeological Journal,3,3192430,41578
202,Q1055,Emma Swann,1914,Emma Swann,Proceedings of the Hampshire Field Club and Archaeological Society,Proceedings of the Hampshire Field Club and Archaeological Society,7,3132556,41578
203,Q1055,Emma Swann,1917,Emma Swann,Proceedings of the Hampshire Field Club and Archaeological Society,Proceedings of the Hampshire Field Club and Archaeological Society,8,3132584,41578
204,Q1056,Blanche Arthur Georgina Swinton,1899,Swinton,Journal of the County Kildare Archaeological Society,Journal of the County Kildare Archaeological Society,2,3104245,55611
205,Q1057,Clara Elizabeth Sworder,1900,Clara E Sworder,Transactions of the East Hertfordshire Archaeological Society,Transactions of the East Hertfordshire Archaeological Society,1,3128088,53656
206,Q1059,Ella Constance Sykes,1901,Ella C Sykes,Folklore,Folklore,12,3112659,48796
212,Q106,Jacquetta Hawkes,1934,Jacquetta Hawkes,Man,Man,34,3115272,22866
213,Q106,Jacquetta Hawkes,1948,Jacquetta Hawkes,South-eastern Naturalist and Antiquarian,South-eastern Naturalist and Antiquarian,53,3127116,22866
214,Q106,Jacquetta Hawkes,1951,Jacquetta Hawkes,History Today,History Today,June,3095790,22866
215,Q106,Jacquetta Hawkes,1941,Jacquetta Hawkes,Journal of the Royal Historical and Archaeological Association of Ireland,Journal of the Royal Society of Antiquaries of Ireland,11,3038952,22866
216,Q106,Jacquetta Hawkes,1940,Jacquetta Hawkes,Proceedings of the Hampshire Field Club and Archaeological Society,Proceedings of the Hampshire Field Club and Archaeological Society,"14
                                        
                                        
                                            (3)",3019606,22866
218,Q106,Jacquetta Hawkes,1933,"Jacquetta Hawkes
                                                Christopher F C Hawkes",The Archaeological Journal,The Archaeological Journal,90,3179655,22866
219,Q106,Jacquetta Hawkes,1934,"Jacquetta Hawkes
                                                Christopher F C Hawkes",The Archaeological Journal,The Archaeological Journal,91,3179674,22866
220,Q106,Jacquetta Hawkes,1935,"Jacquetta Hawkes
                                                Christopher F C Hawkes",The Archaeological Journal,The Archaeological Journal,92,3179691,22866
222,Q106,Jacquetta Hawkes,1957,Jacquetta Hawkes,Antiquity,Antiquity,"31
                                        
                                        
                                            (123)",3007400,22866
223,Q106,Jacquetta Hawkes,1938,Jacquetta Hawkes,The Archaeological Journal,The Archaeological Journal,95,3179732,22866
224,Q106,Jacquetta Hawkes,1935,Jacquetta Hawkes,Proceedings of the Prehistoric Society,Proceedings of the Prehistoric Society of East Anglia,1,3043598,22866
227,Q1060,Constance Tayler,1895,Constance Tayler,Folklore,Folklore,6,3113270,49004
228,Q1061,Elizabeth Taylor,NA,Elizabeth Taylor,Transactions of the Woolhope Naturalists Field Club,Transactions of the Woolhope Naturalists Field Club,"47
                                        
                                        
                                            (1)",3101952,11080
230,Q1061,Elizabeth Taylor,1903,Elizabeth Taylor,Folklore,Folklore,14,3113037,11080
231,Q1061,Elizabeth Taylor,NA,Elizabeth Taylor,Transactions of the Woolhope Naturalists Field Club,Transactions of the Woolhope Naturalists Field Club,"48
                                        
                                        
                                            (2)",3101972,11080
234,Q1062,Susette Martha Taylor,1952,S M Taylor,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,72,3202114,49014
235,Q1062,Susette Martha Taylor,1927,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,27,3196022,49014
236,Q1062,Susette Martha Taylor,1943,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,43,3196566,49014
237,Q1062,Susette Martha Taylor,1942,S M Taylor,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,63,3202000,49014
238,Q1062,Susette Martha Taylor,1944,S M Taylor,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,65,3202027,49014
239,Q1062,Susette Martha Taylor,1944,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,44,3196599,49014
240,Q1062,Susette Martha Taylor,1938,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,38,3196398,49014
241,Q1062,Susette Martha Taylor,1941,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,41,3196499,49014
242,Q1062,Susette Martha Taylor,1938,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,38,3196399,49014
243,Q1062,Susette Martha Taylor,1939,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,39,3196439,49014
244,Q1062,Susette Martha Taylor,1939,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,39,3196440,49014
245,Q1062,Susette Martha Taylor,1896,S M Taylor,Folklore,Folklore,7,3113296,49014
246,Q1062,Susette Martha Taylor,1895,S M Taylor,Folklore,Folklore,6,3113275,49014
247,Q1062,Susette Martha Taylor,1947,S M Taylor,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,67,3202044,49014
248,Q1062,Susette Martha Taylor,1948,S M Taylor,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,68,3202061,49014
249,Q1062,Susette Martha Taylor,1937,S M Taylor,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,58,3201924,49014
250,Q1062,Susette Martha Taylor,1941,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,41,3196498,49014
251,Q1062,Susette Martha Taylor,1938,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,38,3196397,49014
252,Q1062,Susette Martha Taylor,1939,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,39,3196438,49014
253,Q1062,Susette Martha Taylor,1955,"S M Taylor
                                                David Ramage",Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,55,3196959,49014
254,Q1062,Susette Martha Taylor,1951,S M Taylor,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,51,3196782,49014
256,Q1063,Eleanor Blanche Tempest,NA,A C Tempest,Transactions of the Historic Society of Lancashire and Cheshire,Transactions of the Historic Society of Lancashire and Cheshire,58,3132826,41661
257,Q1063,Eleanor Blanche Tempest,1891,A C Tempest,Yorkshire Archaeological Journal,Yorkshire Archaeological Journal,11,3149444,41661
258,Q1063,Eleanor Blanche Tempest,1908,A C Tempest,Transactions of the Historic Society of Lancashire and Cheshire,Transactions of the Historic Society of Lancashire and Cheshire,58,3124294,41661
259,Q1065,Helen Mary Tirard,1890,Helen Mary Tirard,The Archaeological Journal,The Archaeological Journal,47,3178765,47153
260,Q1066,Dorothea Townshend,1897,D Townshend,Folklore,Folklore,8,3113345,48941
261,Q1066,Dorothea Townshend,1909,D Townshend,Folklore,Folklore,20,3113163,48941
262,Q1067,Emily Tite,NA,Tite,Proceedings of the Society of Biblical Archaeology,Proceedings of the Society of Biblical Archaeology,4,3141719,48048
263,Q1068,Charlotte Elizabeth Treadwin,1883,Treadwin,Transactions of the Devonshire Association,Transactions of the Devonshire Association,15,3147149,53502
264,Q1069,Emily Mary Chenevix Trench,1907,Emily Chevenix Trench,Transactions of the Essex Archaeological Society,Transactions of the Essex Archaeological Society,10,3139478,45472
265,Q1072,M. Agatha Turner,1904,M Agatha Turner,Folklore,Folklore,15,3112741,48844
266,Q1073,Mary Ussher,1880,Mary Ussher,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,2,3125297,49991
267,Q1073,Mary Ussher,1881,Mary Ussher,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,3,3201044,49991
268,Q1073,Mary Ussher,1879,Mary Ussher,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,1,3125206,49991
269,Q1073,Mary Ussher,1879,Mary Ussher,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,1,3201014,49991
270,Q1073,Mary Ussher,1880,Mary Ussher,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,2,3201032,49991
271,Q1073,Mary Ussher,1881,Mary Ussher,Journal of the Derbyshire Archaeological and Natural History Society,Journal of the Derbyshire Archaeological and Natural History Society,3,3125329,49991
272,Q1074,Margaret Maria Verney,1927,Margaret M Verney,Records of Buckinghamshire,Records of Buckinghamshire,"12
                                        
                                        
                                            (1)",3255102,43245
273,Q1074,Margaret Maria Verney,1896,Verney,Berks Bucks and Oxon Archaeological Journal,Berks Bucks and Oxon Archaeological Journal,2,3192402,47711
274,Q1074,Margaret Maria Verney,1895,Verney,Berks Bucks and Oxon Archaeological Journal,Berks Bucks and Oxon Archaeological Journal,1,3192355,47711
275,Q1076,Mary Adelaide Walker,1883,M A Walker,Folklore Journal,Folklore,1,3143006,49040
276,Q1077,Letitia Alice Walkington,1896,L A Walkington,Journal of the Royal Historical and Archaeological Association of Ireland,Journal of the Royal Society of Antiquaries of Ireland,6,3039926,50558
277,Q1079,Ellen King Ware,1891,Henry Ware,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,11,3195123,53313
278,Q1079,Ellen King Ware,1895,Henry Ware,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,13,3195367,53313
279,Q1079,Ellen King Ware,1891,Henry Ware,The Archaeological Journal,The Archaeological Journal,48,3178833,53313
280,Q1079,Ellen King Ware,1893,Henry Ware,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,12,3195242,53313
281,Q1079,Ellen King Ware,1891,Ellen K Ware,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,11,3195113,53322
282,Q1079,Ellen King Ware,1888,Ellen K Goodwin,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,9,3194914,53396
283,Q1079,Ellen King Ware,1884,Ellen K Goodwin,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society,7,3194696,53396
